times,type,counts
2011-03-20,IssuesEvent,1473
2011-03-20,GistEvent,876
2011-03-20,MemberEvent,154
2011-03-20,WatchEvent,3484
2011-03-20,PullRequestEvent,758
2011-03-20,DownloadEvent,171
2011-03-20,FollowEvent,990
2011-03-20,PushEvent,19417
2011-03-20,CommitCommentEvent,460
2011-03-20,PublicEvent,19
2011-03-20,GollumEvent,750
2011-03-20,ForkEvent,905
2011-03-20,ForkApplyEvent,72
2011-03-21,IssuesEvent,1726
2011-03-21,CreateEvent,5776
2011-03-21,CommitCommentEvent,673
2011-03-21,PullRequestEvent,961
2011-03-21,GistEvent,1186
2011-03-21,GollumEvent,1096
2011-03-21,ForkEvent,1122
2011-03-21,DownloadEvent,169
2011-03-21,MemberEvent,275
2011-03-21,ForkApplyEvent,151
2011-03-21,PushEvent,23629
2011-03-21,PublicEvent,41
2011-03-21,WatchEvent,5072
2011-03-21,FollowEvent,1604
2011-03-21,DeleteEvent,558
2011-03-22,WatchEvent,6152
2011-03-22,PullRequestEvent,1154
2011-03-22,CreateEvent,7928
2011-03-22,GistEvent,1382
2011-03-22,DeleteEvent,467
2011-03-22,FollowEvent,1728
2011-03-22,PublicEvent,47
2011-03-22,ForkApplyEvent,126
2011-03-22,ForkEvent,1448
2011-03-22,DownloadEvent,244
2011-03-22,MemberEvent,295
2011-03-22,IssuesEvent,1912
2011-03-22,GollumEvent,1071
2011-03-22,CommitCommentEvent,689
2011-03-22,PushEvent,25507
2011-03-23,ForkEvent,1367
2011-03-23,WatchEvent,5278
2011-03-23,PublicEvent,45
2011-03-23,GistEvent,1364
2011-03-23,MemberEvent,326
2011-03-23,DeleteEvent,438
2011-03-23,DownloadEvent,213
2011-03-23,IssuesEvent,1876
2011-03-23,CreateEvent,5955
2011-03-23,ForkApplyEvent,157
2011-03-23,PushEvent,24901
2011-03-23,FollowEvent,1715
2011-03-23,PullRequestEvent,1057
2011-03-23,GollumEvent,1130
2011-03-23,CommitCommentEvent,708
2011-03-24,CommitCommentEvent,674
2011-03-24,FollowEvent,1600
2011-03-24,WatchEvent,5217
2011-03-24,GistEvent,1210
2011-03-24,GollumEvent,1558
2011-03-24,PullRequestEvent,953
2011-03-24,DownloadEvent,184
2011-03-24,IssuesEvent,1677
2011-03-24,CreateEvent,6098
2011-03-24,PushEvent,23646
2011-03-24,MemberEvent,325
2011-03-24,ForkApplyEvent,145
2011-03-24,DeleteEvent,483
2011-03-24,PublicEvent,50
2011-03-24,ForkEvent,1337
2011-03-25,FollowEvent,1565
2011-03-25,DownloadEvent,157
2011-03-25,IssuesEvent,1954
2011-03-25,ForkEvent,1372
2011-03-25,DeleteEvent,595
2011-03-25,CreateEvent,5481
2011-03-25,PublicEvent,43
2011-03-25,CommitCommentEvent,686
2011-03-25,ForkApplyEvent,128
2011-03-25,PushEvent,23146
2011-03-25,GollumEvent,1196
2011-03-25,WatchEvent,5383
2011-03-25,GistEvent,1508
2011-03-25,PullRequestEvent,958
2011-03-25,MemberEvent,347
2011-03-26,CommitCommentEvent,538
2011-03-26,CreateEvent,4765
2011-03-26,GollumEvent,872
2011-03-26,DeleteEvent,458
2011-03-26,WatchEvent,3652
2011-03-26,PushEvent,18364
2011-03-26,ForkApplyEvent,107
2011-03-26,FollowEvent,1087
2011-03-26,PublicEvent,19
2011-03-26,GistEvent,1008
2011-03-26,IssuesEvent,1271
2011-03-26,MemberEvent,239
2011-03-26,ForkEvent,879
2011-03-26,DownloadEvent,152
2011-03-26,PullRequestEvent,716
2011-03-27,MemberEvent,214
2011-03-27,DeleteEvent,489
2011-03-27,WatchEvent,3718
2011-03-27,ForkEvent,989
2011-03-27,CommitCommentEvent,458
2011-03-27,GistEvent,1207
2011-03-27,PushEvent,20359
2011-03-27,CreateEvent,5492
2011-03-27,IssuesEvent,1400
2011-03-27,FollowEvent,1153
2011-03-27,PublicEvent,28
2011-03-27,GollumEvent,951
2011-03-27,PullRequestEvent,745
2011-03-27,ForkApplyEvent,70
2011-03-27,DownloadEvent,161
2011-03-28,DeleteEvent,1027
2011-03-28,PullRequestEvent,1219
2011-03-28,GollumEvent,1278
2011-03-28,GistEvent,1703
2011-03-28,MemberEvent,343
2011-03-28,PushEvent,25866
2011-03-28,DownloadEvent,219
2011-03-28,PublicEvent,49
2011-03-28,ForkEvent,1379
2011-03-28,FollowEvent,1605
2011-03-28,CreateEvent,6553
2011-03-28,CommitCommentEvent,666
2011-03-28,WatchEvent,5509
2011-03-28,IssuesEvent,2155
2011-03-28,ForkApplyEvent,123
2011-03-29,DownloadEvent,142
2011-03-29,CreateEvent,5405
2011-03-29,PullRequestEvent,1096
2011-03-29,GistEvent,1441
2011-03-29,FollowEvent,1388
2011-03-29,IssuesEvent,1736
2011-03-29,PublicEvent,38
2011-03-29,ForkApplyEvent,103
2011-03-29,WatchEvent,4794
2011-03-29,MemberEvent,300
2011-03-29,ForkEvent,1240
2011-03-29,PushEvent,22117
2011-03-29,DeleteEvent,625
2011-03-29,CommitCommentEvent,672
2011-03-29,GollumEvent,957
2011-03-30,DownloadEvent,216
2011-03-30,WatchEvent,5503
2011-03-30,CommitCommentEvent,624
2011-03-30,FollowEvent,1744
2011-03-30,PublicEvent,47
2011-03-30,PullRequestEvent,1095
2011-03-30,GollumEvent,1028
2011-03-30,CreateEvent,12366
2011-03-30,PushEvent,24610
2011-03-30,GistEvent,1533
2011-03-30,ForkEvent,1348
2011-03-30,IssuesEvent,1732
2011-03-30,ForkApplyEvent,96
2011-03-30,DeleteEvent,536
2011-03-30,MemberEvent,337
2011-03-31,DeleteEvent,1065
2011-03-31,WatchEvent,5506
2011-03-31,CreateEvent,7048
2011-03-31,PushEvent,24843
2011-03-31,ForkApplyEvent,95
2011-03-31,IssuesEvent,1729
2011-03-31,MemberEvent,292
2011-03-31,FollowEvent,1686
2011-03-31,PullRequestEvent,1205
2011-03-31,ForkEvent,1352
2011-03-31,GollumEvent,1171
2011-03-31,GistEvent,1549
2011-03-31,CommitCommentEvent,646
2011-03-31,PublicEvent,40
2011-03-31,DownloadEvent,191
2011-04-01,FollowEvent,1577
2011-04-01,ForkEvent,1345
2011-04-01,WatchEvent,5138
2011-04-01,MemberEvent,302
2011-04-01,PublicEvent,47
2011-04-01,PushEvent,22705
2011-04-01,DownloadEvent,222
2011-04-01,CreateEvent,8185
2011-04-01,CommitCommentEvent,704
2011-04-01,PullRequestEvent,1072
2011-04-01,DeleteEvent,982
2011-04-01,IssuesEvent,1711
2011-04-01,ForkApplyEvent,117
2011-04-01,GollumEvent,847
2011-04-01,GistEvent,1440
2011-04-02,DownloadEvent,145
2011-04-02,CreateEvent,4461
2011-04-02,CommitCommentEvent,462
2011-04-02,GistEvent,1044
2011-04-02,GollumEvent,832
2011-04-02,MemberEvent,204
2011-04-02,ForkEvent,1095
2011-04-02,FollowEvent,986
