time,type,count
2016-01-15,PullRequestReviewCommentEvent,14311
2016-01-15,PullRequestEvent,45375
2016-01-16,WatchEvent,46444
2016-01-16,CommitCommentEvent,2470
2016-01-16,DeleteEvent,10488
2016-01-16,PullRequestEvent,25039
2016-01-16,PushEvent,310887
2016-01-16,ReleaseEvent,1678
2016-01-16,PublicEvent,503
2016-01-16,CreateEvent,68252
2016-01-16,IssuesEvent,22861
2016-01-16,MemberEvent,3088
2016-01-16,ForkEvent,15785
2016-01-16,IssueCommentEvent,37961
2016-01-16,PullRequestReviewCommentEvent,5503
2016-01-16,GollumEvent,4298
2016-01-17,MemberEvent,2316
2016-01-17,IssuesEvent,21639
2016-01-17,ForkEvent,15453
2016-01-17,DeleteEvent,9854
2016-01-17,CreateEvent,69982
2016-01-17,PushEvent,328728
2016-01-17,PullRequestReviewCommentEvent,5369
2016-01-17,CommitCommentEvent,2192
2016-01-17,GollumEvent,4176
2016-01-17,PullRequestEvent,24368
2016-01-17,WatchEvent,45689
2016-01-17,IssueCommentEvent,37571
2016-01-17,ReleaseEvent,1839
2016-01-17,PublicEvent,467
2016-01-18,ForkEvent,26168
2016-01-18,PullRequestEvent,43660
2016-01-18,PushEvent,420383
2016-01-18,GollumEvent,6728
2016-01-18,PullRequestReviewCommentEvent,13276
2016-01-18,MemberEvent,5596
2016-01-18,IssueCommentEvent,72135
2016-01-18,CommitCommentEvent,4553
2016-01-18,WatchEvent,75305
2016-01-18,CreateEvent,106734
2016-01-18,ReleaseEvent,2847
2016-01-18,DeleteEvent,17037
2016-01-18,IssuesEvent,38572
2016-01-18,PublicEvent,735
2016-01-19,ReleaseEvent,2940
2016-01-19,WatchEvent,76921
2016-01-19,DeleteEvent,21202
2016-01-19,PushEvent,438443
2016-01-19,CreateEvent,132265
2016-01-19,GollumEvent,6603
2016-01-19,PullRequestEvent,48015
2016-01-19,MemberEvent,5759
2016-01-19,PublicEvent,808
2016-01-19,IssueCommentEvent,82242
2016-01-19,CommitCommentEvent,4706
2016-01-19,PullRequestReviewCommentEvent,16719
2016-01-19,ForkEvent,28039
2016-01-19,IssuesEvent,40251
2016-01-20,PublicEvent,799
2016-01-20,CommitCommentEvent,5536
2016-01-20,ReleaseEvent,2918
2016-01-20,GollumEvent,7208
2016-01-20,DeleteEvent,20546
2016-01-20,WatchEvent,75618
2016-01-20,IssuesEvent,39798
2016-01-20,PushEvent,442754
2016-01-20,MemberEvent,5568
2016-01-20,IssueCommentEvent,83578
2016-01-20,CreateEvent,137218
2016-01-20,PullRequestReviewCommentEvent,16929
2016-01-20,PullRequestEvent,48783
2016-01-20,ForkEvent,28035
2016-01-21,MemberEvent,6741
2016-01-21,PullRequestEvent,48608
2016-01-21,PullRequestReviewCommentEvent,16296
2016-01-21,PushEvent,441134
2016-01-21,CommitCommentEvent,5227
2016-01-21,GollumEvent,7846
2016-01-21,CreateEvent,129709
2016-01-21,IssuesEvent,37185
2016-01-21,IssueCommentEvent,81172
2016-01-21,ReleaseEvent,2793
2016-01-21,DeleteEvent,17813
2016-01-21,PublicEvent,764
2016-01-21,ForkEvent,27965
2016-01-21,WatchEvent,77222
2016-01-22,PublicEvent,721
2016-01-22,ForkEvent,26682
2016-01-22,IssuesEvent,34278
2016-01-22,IssueCommentEvent,75684
2016-01-22,DeleteEvent,16692
2016-01-22,PullRequestEvent,45245
2016-01-22,WatchEvent,74382
2016-01-22,CreateEvent,102085
2016-01-22,ReleaseEvent,2649
2016-01-22,CommitCommentEvent,4297
2016-01-22,GollumEvent,5983
2016-01-22,MemberEvent,4937
2016-01-22,PullRequestReviewCommentEvent,15267
